Line Number,Location path code,selection,source,word,menu,menu_ff,full_pattern,menu_pattern,button,menu_title,is_menu,menu_multiplicity,multiplicity,Training/ Spontaneous,Utterance: Single word or phrase,Type of Sign,is_match,match_type
56,,TEMP AND WEATHER,MENU,,TEMP AND WEATHER,TEMP AND WEATHER,AB,A,B,TALK ABOUT,true,1,1,Trained - Repeated,Phrase,Photo,true,UNIQUE_MATCH
57,,TEMP AND WEATHER,MENU,,TEMP AND WEATHER,TEMP AND WEATHER,AB,A,B,TALK ABOUT,true,1,1,Trained - Repeated,Phrase,Photo,true,UNIQUE_MATCH
58,,HOT,MENU,,HOT,HOT,ABC,AB,C,TEMP AND WEATHER,true,1,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
59,,HOT OUTSIDE,FINAL,Hot outside,,HOT,ABCF,ABC,F,HOT,false,,1,Generalized,Phrase,Photo,true,UNIQUE_MATCH
60,,HOT,MENU,,HOT,HOT,ABC,AB,C,TEMP AND WEATHER,true,1,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
61,,TALK ABOUT,MENU,,TALK ABOUT ,TALK ABOUT ,,,,,,,,,,,false,
62,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE,C,"",C,MAIN MENU,true,1,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
63,,MOM,FINAL,Mom,,EXPERIENCE,,,,,,,,,,,false,
64,,TALK ABOUT,MENU,,TALK ABOUT ,TALK ABOUT ,,,,,,,,,,,false,
65,,TALK ABOUT,MENU,,TALK ABOUT ,TALK ABOUT ,,,,,,,,,,,false,
66,,TALK ABOUT,MENU,,TALK ABOUT ,TALK ABOUT ,,,,,,,,,,,false,
67,,OUTSIDE,MENU,,OUTSIDE,OUTSIDE,,,,,,,,,,,false,
68,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT,,,,,,,,,,,false,
69,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE,C,"",C,MAIN MENU,true,1,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
