selection,iteration,is_menu,len
DAY / SUN,iteration_2,false,1
DAY SUN,iteration_3,false,1
DEATH AND SAD,iteration_3,false,1
DEBUSSY,iteration_3,false,1
DEER,iteration_3,false,1
DESCRIPTIONS AND PREFERENCES,iteration_3,true,1
DIRT,iteration_3,false,1
DOLPHIN,iteration_3,false,1
DOWN LOW,iteration_3,false,4
DRAGON,iteration_2,false,1
DRAGON,iteration_3,false,3
DRAGONS,iteration_2,false,1
DRAW WHAT I SEE,iteration_3,false,1
DUCK,iteration_3,false,1
EASTER,iteration_2,false,1
EASTER,iteration_3,false,2
EASTER,iteration_3,true,1
EASTER BABIES,iteration_2,false,1
EASTER BASKET,iteration_3,false,1
EASTER BUNNY,iteration_3,false,1
EASTER CARTOONS,iteration_3,false,1
EASTER EGG,iteration_3,false,1
EASTER MUSIC,iteration_3,false,1
EASY,iteration_3,false,1
EGGS,iteration_2,false,1
EGGS,iteration_3,false,1
ELEPHANT,iteration_3,false,1
ELF,iteration_3,false,3
ELLIE,iteration_1,false,1
ELLIE,iteration_2,false,2
ELLIE,iteration_3,false,10
EMPTY,iteration_3,false,1
ENTERTAINMENT,iteration_3,true,1
EWW,iteration_2,false,1
EWW,iteration_3,false,1
EXCITED,iteration_2,false,1
EXCITED,iteration_3,false,2
EXCITED,iteration_3,true,1
EXPERIENCE,iteration_1,true,1
EXPERIENCE,iteration_2,true,1
EXPERIENCE,iteration_3,true,1
FAIRIES,iteration_2,false,1
FAIRY,iteration_2,false,1
FAIRY,iteration_3,false,3
FALL,iteration_2,false,1
FALL,iteration_3,false,2
FALL,iteration_3,true,1
FALL CARTOONS,iteration_3,false,1
FALL MUSIC,iteration_3,false,1
FANTASY,iteration_2,false,1
FANTASY,iteration_2,true,2
FANTASY,iteration_3,true,3
FAST,iteration_3,false,3
FEEL,iteration_3,false,1
FEEL GOOD,iteration_3,false,1
FEELING,iteration_1,false,1
FEELING,iteration_2,false,1
FEELING,iteration_2,true,1
FEELING,iteration_3,true,1
FIREPLACE,iteration_3,false,2
FIREWORKS,iteration_3,false,1
FISH,iteration_3,false,1
FIX,iteration_3,false,4
FIX PLEASE,iteration_3,true,1
FIXED,iteration_3,false,1
FLOOR,iteration_3,false,1
FLOWERS,iteration_3,false,1
FLY,iteration_3,false,1
FOOD AND DRINKS,iteration_3,true,1
FOOT,iteration_3,false,1
FREE WRITING PRACTICE,iteration_3,false,1
FROSTY,iteration_3,false,1
FULL,iteration_3,false,1
FUTURE,iteration_3,false,12
GAME,iteration_3,false,12
GAMES,iteration_2,false,1
GAMES,iteration_2,true,1
GHOST,iteration_3,false,1
GIRAFFE,iteration_3,false,1
GNOME,iteration_3,false,3
GOLF CART RIDE,iteration_3,false,3
GORILLA,iteration_3,false,1
GRANDMA,iteration_1,false,1
GRANDMA,iteration_2,false,1
GRANDMA,iteration_3,false,1
GRASS,iteration_3,false,1
GRAY,iteration_3,false,1
GUITAR,iteration_3,false,1
HALLOWEEN,iteration_2,false,1
HALLOWEEN,iteration_3,false,2
HALLOWEEN,iteration_3,true,1
HALLOWEEN CARTOONS,iteration_3,false,1
HALLOWEEN LIGHTS,iteration_3,false,1
HANDEL,iteration_3,false,1
HANDFUL OF TREATS,iteration_3,false,1
HANG DRUM,iteration_3,false,1
HAPPY,iteration_2,false,1
HAPPY,iteration_3,false,3
HAPPY,iteration_3,true,1
HARD,iteration_3,false,1
HAUNTED HOUSE,iteration_3,false,1
HEAD,iteration_3,false,1
HEAR,iteration_1,false,1
HEAR,iteration_2,false,1
HEAR,iteration_3,false,1
HIGH UP,iteration_3,false,3
HOLIDAYS,iteration_2,false,1
HOLIDAYS,iteration_3,true,3
HOT,iteration_2,true,1
HOT,iteration_3,true,2
HOT INSIDE,iteration_2,false,1
HOT INSIDE,iteration_3,false,2
HOT OUTSIDE,iteration_2,false,1
HOT OUTSIDE,iteration_3,false,3
HOT TEA,iteration_3,false,1
HOT WIND BLOW DRYER,iteration_2,false,1
HOT WIND HEATER,iteration_3,false,1
HOW?,iteration_3,false,1
I DONT KNOW,iteration_3,false,1
I FEEL AFRAID,iteration_3,false,1
I FEEL COLD,iteration_2,false,1
I FEEL COLD,iteration_3,false,1
I FEEL COOL,iteration_2,false,1
I FEEL COOL,iteration_3,false,1
I FEEL EXCITED,iteration_3,false,1
I FEEL HAPPY,iteration_3,false,1
I FEEL HOT,iteration_2,false,1
I FEEL HOT,iteration_3,false,1
I FEEL MAD,iteration_3,false,1
I FEEL OUCH,iteration_3,false,1
I FEEL SAD,iteration_3,false,1
I FEEL WARM,iteration_2,false,1
I FEEL WARM,iteration_3,false,1
I FELT AFRAID,iteration_3,false,1
I FELT COLD,iteration_3,false,1
I FELT COOL,iteration_3,false,1
I FELT EXCITED,iteration_3,false,1
I FELT HAPPY,iteration_3,false,1
I FELT HOT,iteration_3,false,1
I FELT MAD,iteration_3,false,1
I FELT OUCH,iteration_3,false,1
I FELT SAD,iteration_3,false,1
I FELT WARM,iteration_3,false,1
I HELP,iteration_3,false,1
I KNOW!,iteration_3,false,1
I LOVE YOU,iteration_3,false,2
I PLAY,iteration_3,false,1
I WANT TO FEEL AFRAID,iteration_3,false,1
I WANT TO FEEL COLD,iteration_2,false,1
I WANT TO FEEL COLD,iteration_3,false,1
I WANT TO FEEL COOL,iteration_2,false,1
I WANT TO FEEL COOL,iteration_3,false,1
I WANT TO FEEL EXCITED,iteration_3,false,1
I WANT TO FEEL HAPPY,iteration_3,false,1
I WANT TO FEEL HOT,iteration_2,false,1
I WANT TO FEEL HOT,iteration_3,false,1
I WANT TO FEEL MAD,iteration_3,false,1
I WANT TO FEEL SAD,iteration_3,false,1
I WANT TO FEEL WARM,iteration_2,false,1
I WANT TO FEEL WARM,iteration_3,false,1
I WILL FEEL AFRAID,iteration_3,false,1
I WILL FEEL COLD,iteration_3,false,1
I WILL FEEL COOL,iteration_3,false,1
I WILL FEEL EXCITED,iteration_3,false,1
I WILL FEEL HAPPY,iteration_3,false,1
I WILL FEEL HOT,iteration_3,false,1
I WILL FEEL MAD,iteration_3,false,1
I WILL FEEL OUCH,iteration_3,false,1
I WILL FEEL SAD,iteration_3,false,1
I WILL FEEL WARM,iteration_3,false,1
I'M NOT SURE,iteration_2,false,1
I'M NOT SURE,iteration_3,false,1
IGUANA,iteration_3,false,1
IMPRESSIONIST ERA,iteration_3,true,1
IN,iteration_3,false,1
INSIDE,iteration_3,false,2
INSIDE OUCH,iteration_3,false,1
INSTRUMENTAL,iteration_3,true,1
INTERESTING,iteration_3,false,1
ISABELLE,iteration_1,false,1
ISABELLE,iteration_2,false,2
ISABELLE,iteration_3,false,10
ISABELLE'S HOUSE,iteration_3,false,1
ISABELLE’S HOUSE,iteration_2,false,1
JUICE,iteration_1,false,1
JUICE,iteration_2,false,1
JUICE,iteration_3,false,1
JUMP,iteration_3,false,1
JUNGLE ANIMALS,iteration_3,false,2
JUNGLE ANIMALS,iteration_3,true,1
KATURI,iteration_1,false,1
KATURI,iteration_2,false,1
KATURI,iteration_3,false,1
KINDERGARTEN LINES,iteration_3,false,1
KITTEN,iteration_3,false,1
LAMB,iteration_3,false,1
LEAF WRESTLE,iteration_3,false,1
LEARN NEW WORDS,iteration_3,false,1
LEARN SOMETHING NEW,iteration_2,false,1
LEARN SOMETHING NEW,iteration_3,false,2
LEARNING,iteration_2,false,1
LEARNING THEME,iteration_3,false,1
LEAVES,iteration_3,false,1
LETTER PRACTICE,iteration_3,false,1
LETTERS AND PHONICS,iteration_2,false,1
LETTERS AND WORDS,iteration_2,false,1
LIGHT,iteration_3,false,2
LIGHTNING THUNDER CHEESE GAME,iteration_3,false,2
LIKE,iteration_2,false,1
LIKE,iteration_3,false,31
LILY,iteration_3,false,1
LION,iteration_3,false,1
LITTLE,iteration_3,false,1
LITTLE KINGDOM,iteration_1,false,1
LITTLE KINGDOM,iteration_2,false,1
LITTLE KINGDOM,iteration_3,false,1
LITTLE LOU,iteration_2,false,1
LOOK,iteration_1,false,1
LOOK AT ART,iteration_3,false,8
LOOK AT PICTURES,iteration_3,false,3
LOUD,iteration_3,false,1
LOVE,iteration_3,false,1
MAD,iteration_2,false,1
MAD,iteration_3,false,1
MAD,iteration_3,true,1
MANGO,iteration_2,false,1
MANGO,iteration_3,false,1
MATCHING GAME,iteration_2,false,1
MATH,iteration_2,false,1
MATH,iteration_3,true,1
MEDICINE,iteration_1,false,1
MEDICINE,iteration_2,false,1
MEDICINE,iteration_3,false,1
MEDICINE,iteration_3,true,1
MEMORY AND TIME,iteration_3,true,1
MERMAID,iteration_3,false,3
MOM,iteration_1,false,2
MOM,iteration_2,false,2
MOM,iteration_3,false,12
MOM COOK DINNER,iteration_2,false,1
MONKEY,iteration_3,false,1
MONSTER,iteration_3,false,1
MOON,iteration_3,false,1
MOON CLOSE BIG,iteration_3,false,1
MOON FAR SMALL,iteration_3,false,1
MOONLIGHT,iteration_3,false,1
MORE,iteration_1,false,1
MOVEMENT,iteration_3,true,1
MUSIC,iteration_1,false,1
MUSIC,iteration_2,false,2
MUSIC,iteration_2,true,1
MUSIC,iteration_3,true,1
NEIGHBOR,iteration_1,false,1
NIGHT - STAR,iteration_3,false,1
NIGHT / MOON,iteration_2,false,1
NIGHT MOON,iteration_3,false,1
NO,iteration_1,false,1
NO,iteration_2,false,1
NO,iteration_3,false,1
NO LIKE,iteration_2,false,1
NO LIKE,iteration_3,false,31
NUMBER MATCH,iteration_2,false,1
NUMBER MATCH,iteration_3,false,1
NUT,iteration_1,false,1
NUTS,iteration_2,false,1
NUTS,iteration_3,false,1
