Line Number,Location path code,selection,source,word,menu,menu_ff
1,K ,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO
2,KE,NEIGHBOR,FINAL,Neighbor,,SAY HELLO TO
5,E,YES,FINAL,Yes,,SAY HELLO TO
6,F,NO,FINAL,No,,SAY HELLO TO
7,E,YES,FINAL,Yes,,SAY HELLO TO
10,J,TO PLAY,MENU,,TO PLAY,TO PLAY
11,JI,OUTSIDE,FINAL,Outside,,TO PLAY
14,F,NO,FINAL,No,,TO PLAY
15,F,NO,FINAL,No,,TO PLAY
16,E,YES,FINAL,Yes,,TO PLAY
17,F,NO,FINAL,No,,TO PLAY
18,E,YES,FINAL,Yes,,TO PLAY
21,A,WANT,FINAL,Want,,TO PLAY
22,B,TREAT,FINAL,Treat,,TO PLAY
23,A,WANT,FINAL,Want,,TO PLAY
24,B,TREAT,FINAL,Treat,,TO PLAY
27,LD,TOM & JERRY,FINAL,Tom & Jerry,,TO PLAY
28,LD,TOM & JERRY,FINAL,Tom & Jerry,,TO PLAY
31,F,NO,FINAL,No,,TO PLAY
32,E,YES,FINAL,Yes,,TO PLAY
33,F,NO,FINAL,No,,TO PLAY
34,F,NO,FINAL,No,,TO PLAY
35,E,YES,FINAL,Yes,,TO PLAY
38,B,TREAT,FINAL,Treat,,TO PLAY
41,H,TO DRINK,MENU,,TO DRINK,TO DRINK
42,HC,TEA,FINAL,Tea,,TO DRINK
43,E,YES,FINAL,Yes,,TO DRINK
47,J,TO PLAY,MENU,,TO PLAY,TO PLAY
49,J,TO PLAY,MENU,,TO PLAY,TO PLAY
50,JD,TRACING,FINAL,Tracing,,TO PLAY
51,JD,TRACING,FINAL,Tracing,,TO PLAY
54,F,NO,FINAL,No,,TO PLAY
55,E,YES,FINAL,Yes,,TO PLAY
58,E,YES,FINAL,Yes,,TO PLAY
59,E,YES,FINAL,Yes,,TO PLAY
60,E,YES,FINAL,Yes,,TO PLAY
62,E,YES,FINAL,Yes,,TO PLAY
65,E,YES,FINAL,Yes,,TO PLAY
66,F,NO,FINAL,No,,TO PLAY
69,D,SEED BALL,FINAL,Seed ball,,TO PLAY
70,E,YES,FINAL,Yes,,TO PLAY
73,D,SEED BALL,FINAL,Seed ball,,TO PLAY
74,E,YES,FINAL,YES,,TO PLAY
75,E,YES,FINAL,Yes,,TO PLAY
78,K,TO SAY HELLO TO,MENU,,TO SAY HELLO TO,TO SAY HELLO TO
79,KE,NEIGHBOR,FINAL,Neighbor,,TO SAY HELLO TO
84,J,TO PLAY,MENU,,TO PLAY,TO PLAY
85,JD,TRACING,FINAL,Tracing,,TO PLAY
86,E,YES,FINAL,Yes,,TO PLAY
89,F,NO,FINAL,No,,TO PLAY
92,F,NO,FINAL,No,,TO PLAY
93,K,TO SAY HELLO TO,MENU,,TO SAY HELLO TO,TO SAY HELLO TO
94,KE,NEIGHBOR,FINAL,Neighbor,,TO SAY HELLO TO
95,F,NO,FINAL,No,,TO SAY HELLO TO
98,E,YES,FINAL,Yes,,TO SAY HELLO TO
101,F,NO,FINAL,No,,TO SAY HELLO TO
102,F,NO,FINAL,No,,TO SAY HELLO TO
106,E,YES,FINAL,Yes,,TO SAY HELLO TO
109,C,NUT,FINAL,Nut,,TO SAY HELLO TO
110,E,YES,FINAL,Yes,,TO SAY HELLO TO
113,F,NO,FINAL,No,,TO SAY HELLO TO
114,H,TO DRINK,MENU,,TO DRINK,TO DRINK
115,HC,TEA,FINAL,Tea,,TO DRINK
116,F,NO,FINAL,No,,TO DRINK
119,J,TO PLAY,MENU,,TO PLAY,TO PLAY
120,JD,TRACING,FINAL,Tracing,,TO PLAY
121,E,YES,FINAL,Yes,,TO PLAY
124,F,NO,FINAL,No,,TO PLAY
125,F,NO,FINAL,No,,TO PLAY
126,E,YES,FINAL,Yes,,TO PLAY
129,E,YES,FINAL,Yes,,TO PLAY
130,C,NUT,FINAL,Nut,,TO PLAY
131,E,YES,FINAL,Yes,,TO PLAY
134,N,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE
135,ND,TOUCH,FINAL,Touch,,EXPERIENCE
136,E,YES,FINAL,Yes,,EXPERIENCE
137,E,YES,FINAL,Yes,,EXPERIENCE
140,E,YES,FINAL,Yes,,EXPERIENCE
141,F,NO,FINAL,No,,EXPERIENCE
142,E,YES,FINAL,Yes,,EXPERIENCE
145,F,NO,FINAL,No,,EXPERIENCE
146,E,YES,FINAL,Yes,,EXPERIENCE
147,E,YES,FINAL,Yes,,EXPERIENCE
148,F,NO,FINAL,No,,EXPERIENCE
149,C,NUT,FINAL,Nut,,EXPERIENCE
150,J,TO PLAY,MENU,,TO PLAY,TO PLAY
151,JD,TRACING,FINAL,Tracing,,TO PLAY
152,E,YES,FINAL,Yes,,TO PLAY
153,E,YES,FINAL,Yes,,TO PLAY
154,F,NO,FINAL,No,,TO PLAY
157,E,YES,FINAL,Yes,,TO PLAY
158,E,YES,FINAL,Yes,,TO PLAY
161,N,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE
162,NH,AND,FINAL,And,,EXPERIENCE
163,NB,MOM,FINAL,Mom,,EXPERIENCE
164,NH,AND,FINAL,And,,EXPERIENCE
165,NC,ELLIE,FINAL,Ellie,,EXPERIENCE
166,NE,LOOK,FINAL,Look,,EXPERIENCE
167,E,YES,FINAL,Yes,,EXPERIENCE
170,N,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE
171,NF,HEAR,FINAL,Hear,,EXPERIENCE
172,NE,LOOK,FINAL,Look,,EXPERIENCE
173,NE,LOOK,FINAL,Look,,EXPERIENCE
174,ND,TOUCH,FINAL,Touch,,EXPERIENCE
175,NE,LOOK,FINAL,Look,,EXPERIENCE
176,ND,TOUCH,FINAL,Touch,,EXPERIENCE
177,NE,LOOK,FINAL,Look,,EXPERIENCE
