Line Number,full_pattern,menu_pattern,button,selection,menu_title,is_menu,menu_multiplicity,multiplicity
91,ABGI,ABG,I,BROKEN,BUGS,false,,5
92,ABGJ,ABG,J,DARK,BUGS,false,,2
93,ABGK,ABG,K,LIGHT,BUGS,false,,2
94,ABGL,ABG,L,MOM,BUGS,false,,13
95,ABGM,ABG,M,ELLIE,BUGS,false,,10
96,ABGN,ABG,N,ISABELLE,BUGS,false,,10
97,ABGO,ABG,O,TILLIE,BUGS,false,,10
98,ABGP,ABG,P,LIKE,BUGS,false,,31
99,ABGQ,ABG,Q,NO LIKE,BUGS,false,,31
100,ABGR,ABG,R,AFRAID,BUGS,false,,3
101,AC,A,C,FANTASY,TALK ABOUT,true,3,3
102,ACA,AC,A,BACK,FANTASY,false,,84
103,ACB,AC,B,DRAGON,FANTASY,false,,3
104,ACC,AC,C,,FANTASY,false,,59
105,ACD,AC,D,UNICORN,FANTASY,false,,3
106,ACE,AC,E,FAIRY,FANTASY,false,,3
107,ACF,AC,F,MERMAID,FANTASY,false,,3
108,ACG,AC,G,ELF,FANTASY,false,,3
109,ACH,AC,H,GNOME,FANTASY,false,,3
110,ACI,AC,I,BOOK,FANTASY,false,,13
111,ACJ,AC,J,LOOK AT ART,FANTASY,false,,8
112,ACK,AC,K,TALK ABOUT,FANTASY,false,,11
113,ACL,AC,L,GAME,FANTASY,false,,12
114,ACM,AC,M,PAST,FANTASY,false,,13
115,ACN,AC,N,TODAY,FANTASY,false,,13
116,ACO,AC,O,FUTURE,FANTASY,false,,12
117,ACP,AC,P,LIKE,FANTASY,false,,31
118,ACQ,AC,Q,NO LIKE,FANTASY,false,,31
119,ACR,AC,R,WANT,FANTASY,false,,5
120,AD,A,D,SEASONAL,TALK ABOUT,true,4,4
121,ADA,AD,A,BACK,SEASONAL,false,,84
122,ADB,AD,B,SEASONAL,SEASONAL,true,4,4
123,ADBA,ADB,A,BACK,SEASONAL,false,,84
124,ADBB,ADB,B,"",SEASONAL,false,,17
125,ADBC,ADB,C,SPRING,SEASONAL,true,1,1
126,ADBCA,ADBC,A,BACK,SPRING,false,,84
127,ADBCB,ADBC,B,FLOWERS,SPRING,false,,1
128,ADBCC,ADBC,C,,SPRING,false,,59
129,ADBCD,ADBC,D,SPROUTS,SPRING,false,,1
130,ADBCE,ADBC,E,DIRT,SPRING,false,,1
131,ADBCF,ADBC,F,GRASS,SPRING,false,,1
132,ADBCG,ADBC,G,OUTSIDE WALK,SPRING,false,,3
133,ADBCH,ADBC,H,BABY ANIMALS,SPRING,false,,3
134,ADBCI,ADBC,I,BUTTERFLY,SPRING,false,,2
135,ADBCJ,ADBC,J,SPRING CARTOONS,SPRING,false,,1
136,ADBCK,ADBC,K,SPRING MUSIC,SPRING,false,,1
137,ADBCL,ADBC,L,CRAFT,SPRING,false,,7
138,ADBCM,ADBC,M,BOOK,SPRING,false,,13
139,ADBCN,ADBC,N,GAME,SPRING,false,,12
140,ADBCO,ADBC,O,CARD GAME,SPRING,false,,4
141,ADBCP,ADBC,P,PAST,SPRING,false,,13
142,ADBCQ,ADBC,Q,TODAY,SPRING,false,,13
143,ADBCR,ADBC,R,FUTURE,SPRING,false,,12
144,ADBCS,ADBC,S,LIKE,SPRING,false,,31
145,ADBCT,ADBC,T,NO LIKE,SPRING,false,,31
146,ADBD,ADB,D,SUMMER,SEASONAL,true,1,1
147,ADBDA,ADBD,A,BACK,SUMMER,false,,84
148,ADBDB,ADBD,B,OUTSIDE SHOWER,SUMMER,false,,1
149,ADBDC,ADBD,C,SUN,SUMMER,false,,2
150,ADBDD,ADBD,D,"",SUMMER,false,,17
151,ADBDE,ADBD,E,RAIN,SUMMER,false,,3
152,ADBDF,ADBD,F,THUNDER,SUMMER,false,,1
153,ADBDG,ADBD,G,FIREWORKS,SUMMER,false,,1
154,ADBDH,ADBD,H,GOLF CART RIDE,SUMMER,false,,3
155,ADBDI,ADBD,I,HOT OUTSIDE,SUMMER,false,,3
156,ADBDJ,ADBD,J,COOL OUTSIDE,SUMMER,false,,4
157,ADBDK,ADBD,K,BANANA STRAW,SUMMER,false,,1
158,ADBDL,ADBD,L,SENSORY BOWL,SUMMER,false,,1
159,ADBDM,ADBD,M,SUMMER CARTOON,SUMMER,false,,1
160,ADBDN,ADBD,N,SUMMER MUSIC,SUMMER,false,,1
161,ADBDO,ADBD,O,CRAFT,SUMMER,false,,7
162,ADBDP,ADBD,P,BOOK,SUMMER,false,,13
163,ADBDQ,ADBD,Q,GAME,SUMMER,false,,12
164,ADBDR,ADBD,R,CARD GAME,SUMMER,false,,4
165,ADBDS,ADBD,S,PAST,SUMMER,false,,13
166,ADBDT,ADBD,T,TODAY,SUMMER,false,,13
167,ADBDU,ADBD,U,FUTURE,SUMMER,false,,12
168,ADBDV,ADBD,V,LIKE,SUMMER,false,,31
169,ADBDW,ADBD,W,NO LIKE,SUMMER,false,,31
