Line Number,Location path code,selection,source,word,menu,menu_ff
2711,,YES,FINAL,Yes,,HAPPY
2712,,NO,FINAL,No,,HAPPY
2713,,YES,FINAL,Yes,,HAPPY
2714,,NO,FINAL,No,,HAPPY
2715,,NO,FINAL,No,,HAPPY
2716,,YES,FINAL,Yes,,HAPPY
2717,,NO,FINAL,No,,HAPPY
2718,,NO,FINAL,No,,HAPPY
2719,,YES,FINAL,Yes,,HAPPY
2720,,YES,FINAL,Yes,,HAPPY
2721,,NO,FINAL,No,,HAPPY
2722,,YES,FINAL,Yes,,HAPPY
2723,,YES,FINAL,Yes,,HAPPY
2724,,TEMPERATURE,MENU,,TEMPERATURE,TEMPERATURE
2725,,HOT,MENU,,HOT,HOT
2726,,I FEEL HOT,FINAL,I feel hot,,HOT
2727,,I FEEL HOT,FINAL,I feel hot,,HOT
2728,,I FEEL HOT,FINAL,I feel hot,,HOT
2729,,I FEEL HOT,FINAL,I feel hot,,HOT
2730,,I WANT TO FEEL HOT,FINAL,I want to feel hot,,HOT
2731,,I WANT TO FEEL HOT,FINAL,I want to feel hot,,HOT
2732,,I WILL FEEL HOT,FINAL,I will feel hot,,HOT
2733,,I FEEL HOT,FINAL,I feel hot,,HOT
2734,,I WANT TO FEEL HOT,FINAL,I want to feel hot,,HOT
2735,,I FEEL HOT,FINAL,I feel hot,,HOT
2736,,I FEEL HOT,FINAL,I feel hot,,HOT
2737,,LIKE,FINAL,Like,,HOT
2738,,TO PLAY,MENU,,TO PLAY,TO PLAY
2739,,TRACING AND WRITING,FINAL,Tracing and writing,,TO PLAY
2740,,TRACING,FINAL,Tracing ,,TO PLAY
2741,,FREE WRITING PRACTICE,FINAL,Free writing practice,,TO PLAY
2742,,LETTER PRACTICE,FINAL,Letter practice,,TO PLAY
2747,,MEMORY AND TIME,MENU,,MEMORY AND TIME,MEMORY AND TIME
2748,,REMEMBER,MENU,,REMEMBER,REMEMBER
2749,,CHRIS,FINAL,Chris,,REMEMBER
2750,,TALK ABOUT FEELINGS,FINAL,Talk about feelings,,REMEMBER
