Line Number,Location path code,L1,L2,L3,L4,L5,Category,Utterance: Single word or phrase,Type of Sign,Training/ Spontaneous
889,JEGC,J About Me,JE Feeling,JEG Afraid,JEGC I want to feel afraid,,Self/State,Phrase,Drawing,Generalized
890,JEGD,J About Me,JE Feeling,JEG Afraid,JEGD,,,,,
891,JEGE,J About Me,JE Feeling,JEG Afraid,JEGE,,,,,
892,JEGF,J About Me,JE Feeling,JEG Afraid,JEGF,,,,,
893,JEGG,J About Me,JE Feeling,JEG Afraid,JEGG I felt afraid,,Space-Temporal,Phrase,Abstract Sign,Generalized
894,JEGH,J About Me,JE Feeling,JEG Afraid,JEGH I will feel afraid,,Space-Temporal,Phrase,Abstract Sign,Generalized
895,JEH,J About Me,JE Feeling,JEH Body,,,Self/State,Single Word,Drawing,Trained - Repeated
896,JEI,J About Me,JE Feeling,JEI I love you,,,Self/State,Phrase,Drawing,Trained - Repeated
897,JEJ,J About Me,JE Feeling,JEJ Like,,,Self/State,Single Word,Abstract Sign,Trained - Repeated
898,JEK,J About Me,JE Feeling,JEK No like,,,Self/State,Phrase,Abstract Sign,Trained - Repeated
899,JEL,J About Me,JE Feeling,JEL Sad,,,Navigation,Single Word,Drawing,Trained - Repeated
900,JELA,J About Me,JE Feeling,JEL Sad,JELA Back,,Navigation,Single Word,Abstract Sign,Trained - Repeated
901,JELB,J About Me,JE Feeling,JEL Sad,JELB I feel sad,,Self/State,Phrase,Drawing,Generalized
902,JELC,J About Me,JE Feeling,JEL Sad,JELC I want to feel sad,,Self/State,Phrase,Drawing,Generalized
903,JELD,J About Me,JE Feeling,JEL Sad,JELD,,,,,
904,JELE,J About Me,JE Feeling,JEL Sad,JELE,,,,,
905,JELF,J About Me,JE Feeling,JEL Sad,JELF,,,,,
906,JELG,J About Me,JE Feeling,JEL Sad,JELG I felt sad,,Space-Temporal,Phrase,Abstract Sign,Generalized
907,JELH,J About Me,JE Feeling,JEL Sad,JELH I will feel sad,,Space-Temporal,Phrase,Abstract Sign,Generalized
908,JEM,J About Me,JE Feeling,JEM Eww,,,Self/State,Single Word,Drawing,Trained
909,JEN,J About Me,JE Feeling,JEN Interesting,,,Self/State,Single Word,Drawing,Untrained - Unused
910,JEO,J About Me,JE Feeling,JEO Boring,,,Self/State,Single Word,Drawing,Untrained - Unused
