,Line Number,Location path code,L1,L2,L3,L4,L5,Category,Training/ Spontaneous,How Discovered?,Utterance: Single word or phrase,Type of Sign,Type of Sign 2,,,,,absolute X,absolute Y,relative X,relative Y,Notes,# boxes on screen,"Cori's double check - yellow are different, white are still the same"
170,170,DCFB,D        To play,DC   Book,DCF Seasonal,DCFB Christmas,,Socio-Cognitive,Trained - Repeated,,Single Word,Drawing,,,,,,-2,1,-1,0,,4,4
171,171,DCFC,D        To play,DC   Book,DCF Seasonal,DCFC Halloween,,Socio-Cognitive,Trained - Repeated,,Single Word,Photo,,,,,,-1,1,1,0,,4,4
172,172,DCFD,D        To play,DC   Book,DCF Seasonal,DCFD Easter,,Socio-Cognitive,Trained - Repeated,,Single Word,Photo,,,,,,1,1,2,0,,4,4
173,173,DCGA,D        To play,DC   Book,DCG Theme,DCGA Back,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,,,,,,-3,1,-1,0,,3,3
174,174,DCGB,D        To play,DC   Book,DCG Theme,DCGB Fantasy,,Navigation,Trained - Repeated,,Single Word,Drawing,,,,,,-2,1,0,0,prev x=-1,3,3
175,175,DCGBA,D        To play,DC   Book,DCG Theme,DCGB Fantasy,DCGBA Back,Navigation,Trained - Repeated,,Single Word,Abstract Sign,,,,,,-3,1,0,0,,4,4
176,176,DCGBB,D        To play,DC   Book,DCG Theme,DCGB Fantasy,DCGBB Unicorns,Socio-Cognitive,Trained - Repeated,,Single Word,Drawing,,,,,,-2,1,-2,0,,4,4
177,177,DCGBC,D        To play,DC   Book,DCG Theme,DCGB Fantasy,DCGBC Dragons,Socio-Cognitive,Trained - Repeated,,Single Word,Drawing,,,,,,-1,1,-1,0,,4,4
178,178,DCGBD,D        To play,DC   Book,DCG Theme,DCGB Fantasy,DCGBD Fairies,Socio-Cognitive,Trained - Repeated,,Single Word,Drawing,,,,,,1,1,1,0,,4,4
179,179,DCGC,D        To play,DC   Book,DCG Theme,DCGC Animals,,Socio-Cognitive,Trained - Repeated,,Single Word,Drawing,,,,,,-1,1,1,0,prev x=-1,2,3
180,180,DF,D        To play,DF   Tracing,,,,Socio-Cognitive,Trained - Repeated,,Single Word,Photo,Iconic,,,,,3,1,3,1,,12,12
181,181,DG,D        To play,DG  Play outside,,,,Space-Temporal,Trained - Repeated,,Phrase,Drawing,Not-Iconic,,,,,-3,-1,-3,-1,,12,12
182,182,DI,D        To play,DI     Games,,,,Socio-Cognitive,Trained - Repeated,,Single Word,Drawing,Not-Iconic,,,,,-1,-1,-1,-1,,12,12
183,183,E,E         Feeling,,,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,2,1,2,1,,12,12
184,184,EA,E         Feeling,EA   Back,,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,1,,12,12
185,185,F,F         Games,,,,,Navigation,Trained - Repeated,,Single Word,Drawing,Not-Iconic,,,,,3,1,3,1,,12,12
186,186,FA,F         Games,FA   Back,,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,1,,12,12
187,187,FC,F         Games,FC    Tracing,,,,Socio-Cognitive,Trained - Repeated,,Single Word,Photo,Iconic,,,,,-1,1,-1,1,,12,12
188,188,GA,G        To eat,GA  Back,,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,1,,12,12
189,189,HA,H        To drink,HA  Back,,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-2,0,,4,4
190,190,IA,I           Places,IA     Back,,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,0,,6,6
191,191,IE,I           Places,IE      Outside Walk,,,,Space-Temporal,Trained - Repeated,,Phrase,Photo,Iconic,,,,,2,1,2,0,,6,6
192,192,JA,J          Music,JA    Back,,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,1,,7,7
193,193,KA,K         Cartoons,KA   Back,,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-2,0,,9,9
194,194,KE,K         Cartoons,KE    Seasonal,,,,Navigation,Trained - Repeated,,Single Word,Photo,Not-Iconic,,,,,2,1,2,1,,9,9
195,195,KEA,K         Cartoons,KE    Seasonal,KEA       Back,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-2,0,,5,5
196,196,KFA,K         Cartoons,KF    Themes,KFA       Back,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,1,,6,6
197,197,KFB,K         Cartoons,KF    Themes,KFB Fantasy,,,Resources,Trained - Repeated,,Single Word,Drawing,Not-Iconic,,,,,-2,1,-2,1,,6,6
198,198,KFF,K         Cartoons,KF    Themes,KFF Music,,,Resources,Trained - Repeated,,Single Word,Drawing,Not-Iconic,,,,,3,1,3,1,,6,6
199,199,LA,L         Treats,LA    Back,,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,1,,7,7
200,200,GG,G        To eat,GG  Cook Breakfast,,,,Action,Untrained - Discovered,"Used in context, had words",Phrase,Abstract Sign,Not-Iconic,,,,,-3,-1,-3,-1,,12,12
201,201,GH,G        To eat,GH  Mom Cook Dinner,,,,Action,Untrained - Discovered,"Used in context, had words",Phrase,Abstract Sign,Not-Iconic,,,,,-2,-1,-2,-1,,12,12
202,202,KFC,K         Cartoons,KF    Themes,KFC Plants and Outside,,,Resources,Untrained - Unused,,Phrase,Photo,Iconic,,,,,-1,1,-1,1,,6,6
203,203,KFD,K         Cartoons,KF    Themes,KFD       Patterns,,,Resources,Untrained - Unused,,Single Word,Photo,Iconic,,,,,1,1,1,1,,6,6
204,204,KEE,K         Cartoons,KF    Themes,KFE Letters and Words,,,Resources,Untrained - Unused,,Phrase,Photo,Iconic,,,,,2,1,2,1,,6,6
205,205,KG,K         Cartoons,KG   Bubble Guppies,,,,Resources,Untrained - Unused,,Phrase,Photo,Iconic,,,,,-3,-1,-3,-1,,9,9
206,206,ABB,A        Talk about,AB   Temp and Weather,ABB        ,,,,,,,,,,,,,-2,1,-2,1,prev y=0,6,12
207,207,ABCC,A        Talk about,AB   Temp and Weather,ABC       Hot,ABCC               ,,,,,,,,,,,,-1,1,-1,1,,7,7
208,208,ABDD,A        Talk about,AB   Temp and Weather,ABD      Warm,ABDD              ,,,,,,,,,,,,1,1,1,0,,6,6
209,209,ABEE,A        Talk about,AB   Temp and Weather,ABE       Cool,ABEE               ,,,,,,,,,,,,2,1,2,0,,6,6
210,210,ABFF,A        Talk about,AB   Temp and Weather,ABF       Cold,ABFF                ,,,,,,,,,,,,3,1,3,1,,7,7
211,211,ABG,A        Talk about,AB   Temp and Weather,ABG,,,,,,,,,,,,,-3,-1,-3,-1,,12,12
212,212,ACC,A        Talk about,AC   Fantasy,ACC         ,,,,,,,,,,,,,-1,1,0,1,,5,5
213,213,BB,B        Say hello to,BB      ,,,,,,,,,,,,,,-2,1,-2,1,,11,11
214,214,CC,C         Experience,CC     ,,,,,,,,,,,,,,-1,1,-1,1,,12,12
215,215,DCC,D        To play,DC   Book,DCC   ,,,,,,,,,,,,,-1,1,-1,1,prev y=0,6,7
216,216,DD,D        To play,DD      ,,,,,,,,,,,,,,1,1,1,1,,12,12
217,217,EE,E         Feeling,EE        ,,,,,,,,,,,,,,2,1,2,1,,12,12
218,218,EG,E         Feeling,EG      ,,,,,,,,,,,,,,-3,-1,-3,-1,,12,12
219,219,FE,F         Games,FE        ,,,,,,,,,,,,,,2,1,2,1,,12,12
220,220,GE,G        To eat,GE       ,,,,,,,,,,,,,,2,1,2,1,,12,12
