,Line Number,Location path code,L1,L2,L3,L4,L5,Category,Training/ Spontaneous,How Discovered?,Utterance: Single word or phrase,Type of Sign,Type of Sign 2,,,,,absolute X,absolute Y,relative X,relative Y,Notes,# boxes on screen,"Cori's double check - yellow are different, white are still the same"
35,35,AH,A        Talk about,AH  Letters and phonics,,,,Socio-Cognitive,Trained,,Phrase,Photo,Iconic,,,,,-3,-1,-3,-1,prev x=-2,9,10
36,36,AI,A        Talk about,AI     Typing,,,,Socio-Cognitive,Trained,,Single Word,Photo,Iconic,,,,,-1,-1,-1,-1,,9,10
37,37,AJ,A        Talk about,AJ Yes and No,,,,Navigation,Trained,,Phrase,Drawing,Not-Iconic,,,,,1,-1,1,-1,prev y=0,5,10
38,38,AJB,A        Talk about,AJ Yes and No,AJB Yes,,,Affirmations,Trained,,Single Word,Abstract Sign,Not-Iconic,,,,,-2,1,-1,0,,5,5
39,39,AJC,A        Talk about,AJ Yes and No,AJC No,,,Affirmations,Trained,,Single Word,Abstract Sign,Not-Iconic,,,,,-1,1,0,0,,5,5
40,40,AJD,A        Talk about,AJ Yes and No,AJD I'm not sure,,,Affirmations,Trained,,Phrase,Abstract Sign,Not-Iconic,,,,,1,1,1,0,,5,5
41,41,AJE,A        Talk about,AJ Yes and No,AJE Something Else,,,Affirmations,Trained,,Phrase,Abstract Sign,Not-Iconic,,,,,2,1,2,0,,5,5
42,42,B,B        Say hello to,,,,,Navigation,Trained,,Phrase,Drawing,Iconic,,,,,-2,1,-2,1,,12,12
43,43,BD,B        Say hello to,BD   Grandma,,,,Family & Friends,Trained,,Single Word,Photo,Iconic,,,,,1,1,1,1,,11,11
44,44,BE,B        Say hello to,BE   Cori,,,,Family & Friends,Trained,,Single Word,Photo,Iconic,,,,,2,1,2,1,,11,11
45,45,BF,B        Say hello to,BF    Sierra,,,,Family & Friends,Trained,,Single Word,Photo,Iconic,,,,,3,1,3,1,,11,11
46,46,BG,B        Say hello to,BG  Car ride,,,,Space-Temporal,Trained,,Phrase,Drawing,Not-Iconic,,,,,-3,-1,-3,-1,,11,11
47,47,BH,B        Say hello to,BH Bird Friends,,,,Navigation,Trained,,Phrase,Photo,Iconic,,,,,-3,-1,-3,-1,,,11
48,48,BHB,B        Say hello to,BH Bird Friends,BHB Cookie,,,Family & Friends,Trained,,Single Word,Photo,Iconic,,,,,-2,1,-1,0,,,4
